plate,reviewer_comments
bffl,best friend for life
bffle,best friends for like ever
bffltddup,best friends for life till death do us part
bffn,best friend for now
bffwb,best friend forever with benefits
bfitw,best friend in the world
bfk,big fat kiss
bfmv,bullet for my valentine 
bfn,bye for now
bfp,bad for pics big fat positive ie pregnant
bftp,blast from the past
bfut,best friends until tomorrow
bfwb,best friend with benefits
bg,bad game baby gangster
bgd,black gangster disciples
bgf,best girl friend
bgl,big game license likes fat people
bgm,background music
bgt,britains got talent 
bh,be happy bloody hell big head
bhd,bad hair day
bhh,bless her heart
bhl8,be home late
bhm,big handsome man
bho,barak hussein obama
bhs,be home soon
biab,back in a bit
bic,believe it comrade
bicbw,but i could be wrong
bieh,best i ever had
biffl,best internet friend for life
bing,but it is not google
bm,bowel movement black man bmw
bm4l,best mates for life
bmak,blow me a kiss
bmb,bebo me back
bmbo,blow my brains out
bme,body modification ezine
bmfe,best mates forever
bmfl,best mates for life
bmg,be my guest
bmi,body mass index
bml,bless my life
bmoc,big man on campus
bms,bitchy men syndrome
bmt,before my time basic military training
bmth,bring me the horizon 
bmttve,best mates til the very end
bmus,beam me up scotty
bmv,be my valentine
bmw,bavarian motor works 
bmx,bicycle motocross
bnb,bad news bears bed n breakfast bread n butter
bnf,big name fan
bni,batteries not included
bnib,brand new in box
bnoc,big name on campus
bnp,british national party
bnr,but not really
bnwot,brand new without tags
bnwt,brand new with tags
bo,body odour
boat,bust out another thousand
bobfoc,body off baywatch face off crimewatch
boed,book of exalted deeds 
bogo,buy one get one
bogof,buy one get one free
bogsat,bunch of guys sitting around talking
cc,credit card carbon copy crowd control country code
ccc,coricidin cough and cold
ccg,collectible card game
ccie,cisco certified internetwork expert
ccl,could not care less
ccna,cisco certified network associate
ccr,creedence clearwater revival 
cctv,closed circuit television
ccw,counterclockwise carrying a concealed weapon
cd,compact disc cross dresser
cdc,cult of the dead cow crudely drawn cock
cdma,code division multiple access
cd rw,compact disk rewritable
clwy,cannot live without you
cm,call me
cmar,cry me a river
cmb,call me back
cme,close my eyes
cmeo,crying my eyes out
cmh,cross my heart
cmho,cry my heart out
cmi,count me in
cmiiw,correct me if i am wrong
cmiyc,catch me if you can
cml,call me later
cmn,call me now
cmos,complementary metal oxide semiconductor
cms,content management system
cmu,cracks me up
cmyk,cyan magenta yellow key
cnn,cable news network
cny,chinese new year
co,commanding officer corrections officer company counter offer
coa,certificate of authenticity
cod,cash on delivery  call of duty
col,crying out loud
crb,criminal records bureau 
crbt,crying real big tears
cwtsy,cannot wait to see you
cwyl,chat with you later
cyb,count your blessings
cybi,can you believe it
cydi,can you dig it
cydm,check your direct messages
cye,check your email
cyf,cross your fingers
cyl,catch you later
cym,check your mail
dln,do not look now
dls,dirty little secret
dltbbb,do not let the bed bugs bite
dltbgyd,do not let the bastards grind you down
dltm,do not lie to me
dlv,demonstration of lower value
dm,do not mind does not matter direct message
dmaf,do not make a fuss
dmal,drop me a line
dmb,dave matthews band
dmc,deep meaningful conversation
dmca,digital millennium copyright act
dmi,do not mention it
dmiid,do not mind if i do
dmm,do not mind me
dmml,do not make me laugh
dms,dirty money syndicate
dmt,di methyl tryptamine 
dmta,dirty minds think alike
dmv,department of motor vehicles
dmw,dead man walking
dmx,dark man x 
dmy,do not mess yourself
dmz,de militarized zone
dn,doing nothing
dna,deoxyribonucleic acid did not attend does not apply
dnc,democratic national committee
dnd,do not disturb
dndc,do not know do not care
dne,do not erase does not exist
dnf,did not finish
dnftt,do not feed the troll
dnk,do not know
dnm,does not matter deep and meaningful
dnp,do not post
dnr,do not resuscitate
dns,domain name service did not start
dntk,do not need to know
dnw,do not want
doa,dead on arrival deteriorate on approach
dob,date of birth
doc,doctor drug of choice
dod,day of defeat
doe,depends on experience
dof,depth of field
dofl,dying on floor laughing
drt,dead right there
ds,darling son
dsd,do some damage
dsl,digital subscriber line
dslr,digital single lens reflex 
dsp,digital signal processing
dss,department of social services
dst,daylight saving time
dt,down town
dta,do not trust anyone
dtam,death to all men
dtb,do not text back
dtc,down to cuddle
dtd,drunk till dawn drunk till death
dte,down to earth
dth,down to hang
dtl,does the look
dtm,doing too much dead to me
dtms,does that make sense
dtmwtd,do not tell me what to do
dtp,disturbing the peace
dtr,define the relationship
dtrt,do the right thing
dts,down the shore down to snuggle
dtt,do not touch that
dttc,do not text the cell
dttm,do not talk to me
dtyt,do not take your time
ebm,electronic body music
ebt,electronic benefits transfer
elol,evil laugh out loud
eob,end of business
eoc,end of conversion
eod,end of discussion
eoe,equal opportunity employer
eof,end of file
eog,end of grade
eol,end of lecture
eom,end of message
eor,end of rant
eos,end of show
eot,end of thread 
eotd,end of the day
eotw,end of the world
eotwawki,end of the world as we know it
eow,end of watch
epos,electronic point of sale
eprom,electronically programmable rom
erp,erotic role play
esa,european space agency
esb,empire stikes back 
esd,electro static discharge
esl,english as second language
esol,english for speakers of other languages
esp,extra sensory perception
espn,entertainment and sports programming network
esrb,entertainment software rating board
est,eastern standard time established
estd,easier said than done
et,extra terrestrial
eta,estimated time of arrival edited to add
etc,et cetera 
etd,estimated time of departure
etf,escape the fate 
etid,everytime i die 
etw,enjoy the weekend
eu,european union
eua,end user agreement
euc,excellent used condition
eula,end user license agreement
ev,expected value
fya,for your amusement
fyc,for your convenience for your consideration
fye,for your entertainment
fyeo,for your eyes only
fyi,for your information
fyk,for your knowledge
fym,free your mind
fyp,fixed your post
fyr,for your review for your records
fyt,for your time
g o a t,greatest of all time
ga,go ahead
gac,guilty as charged get a clue
gafia,get away from it all
gafm,get away from me
gb,great britain gigabyte
gba,god bless america
gbfn,goodbye for now
gbh,grievous bodily harm
gbml,good bye my love
gbnf,gone but not forgotten
gbp,great british pounds 
gbtm,get back to me
gbtw,get back to work
gbu,god bless you
gbwy,god be with you
gby,god bless you
gc,good contition
gcf,good clean fun
gcmg,god calls me god
gcse,general certificate of secondary education 
gcwok,gay couple without kids
gd,gangsta disciple
gdfr,going down for real
gdi,god damn it
gdp,gross domestic product
ge,good evening
ged,general educational development
gfa,grenade free america
gfak,go fly a kite
gfc,global financial crisis
gfete,grinning from ear to ear
gff,grenade free foundation
gfi,go for it
gfn,gone for now
gfp,good for pics
gftw,go for the win
gfu,good for you
gfwl,games for windows live
gfy,good for you
gg,good game
gga,good game all
ggbb,good game bye bye
ggg,good giving and game 
ggn,got to go now
ggnore,good game no rematch
ggoh,got to get outta here
gh,guitar hero
ghb,gamma hydroxybutyrate 
ghd,good hair day
giwist,gee i wish i would said that
giy,google it yourself
giyf,google is your friend
gj,good job
gjoac,go jump off a cliff
gjwhf,girls just want to have fun
gk,good kid
gky,go kill yourself
gl,good luck good looking
gl hf,good luck have fun
gla,good luck all
glag,giggling like a girl
glotr,good luck on the rebuild
glta,good luck to all
glty,good luck to you
glu,girls like us
glws,good luck with sale
glwt,good luck with that
gm,general motors good morning genetically modified good move
gma,good morning america
gmab,give me a break
gmt,greenwich mean time
gmta,great minds think alike
gmv,got my vote
gmy,good man yourself
gn,good night
gnd,girl next door
gne,good night and everything
gnfb,good night facebook
gnsd,good night sweet dreams
goat,greatest of all time
gomer,get out of my emergency room unwelcome patient
gomf,get outta my face
